127.0.0.1 - - [24/Feb/2022:12:33:16 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [24/Feb/2022:12:33:17 +0530] "GET /BankingFrontend/login.html HTTP/1.1" 200 1292
0:0:0:0:0:0:0:1 - - [24/Feb/2022:12:33:17 +0530] "GET /BankingFrontend/js/myScript.js HTTP/1.1" 200 9403
0:0:0:0:0:0:0:1 - - [24/Feb/2022:12:33:23 +0530] "GET /BankingFrontend/images/Banklog.jpg HTTP/1.1" 200 279073
0:0:0:0:0:0:0:1 - - [24/Feb/2022:12:33:32 +0530] "GET /BankingFrontend/login.html HTTP/1.1" 200 1292
0:0:0:0:0:0:0:1 - - [24/Feb/2022:12:33:32 +0530] "GET /BankingFrontend/js/myScript.js HTTP/1.1" 200 9403
0:0:0:0:0:0:0:1 - - [24/Feb/2022:12:33:34 +0530] "GET /BankingFrontend/images/Banklog.jpg HTTP/1.1" 200 279073
0:0:0:0:0:0:0:1 - - [24/Feb/2022:12:33:34 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [24/Feb/2022:12:33:53 +0530] "GET /BankingFrontend/dashBoard.html HTTP/1.1" 200 3581
0:0:0:0:0:0:0:1 - - [24/Feb/2022:12:33:53 +0530] "GET /BankingFrontend/css/navbar-top-fixed.css HTTP/1.1" 200 90
0:0:0:0:0:0:0:1 - - [24/Feb/2022:12:33:53 +0530] "GET /BankingFrontend/js/bootstrap.bundle.min.js HTTP/1.1" 200 78135
0:0:0:0:0:0:0:1 - - [24/Feb/2022:12:33:53 +0530] "GET /BankingFrontend/images/bank.jpg HTTP/1.1" 200 121674
0:0:0:0:0:0:0:1 - - [24/Feb/2022:12:33:59 +0530] "GET /BankingFrontend/balance.html HTTP/1.1" 200 4218
0:0:0:0:0:0:0:1 - - [24/Feb/2022:12:33:59 +0530] "GET /BankingFrontend/css/bootstrap.min.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [24/Feb/2022:12:34:13 +0530] "GET /BankingFrontend/fundTransfer.html HTTP/1.1" 200 4246
0:0:0:0:0:0:0:1 - - [24/Feb/2022:12:34:14 +0530] "GET /BankingFrontend/withdrawMoney.html HTTP/1.1" 200 4082
0:0:0:0:0:0:0:1 - - [24/Feb/2022:12:34:15 +0530] "GET /BankingFrontend/depositeMoney.html HTTP/1.1" 200 4105
0:0:0:0:0:0:0:1 - - [24/Feb/2022:12:34:15 +0530] "GET /BankingFrontend/css/bootstrap.min.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [24/Feb/2022:12:34:16 +0530] "GET /BankingFrontend/bankStatement.html HTTP/1.1" 200 3661
0:0:0:0:0:0:0:1 - - [24/Feb/2022:12:34:18 +0530] "GET /BankingFrontend/css/bootstrap.min.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [24/Feb/2022:12:34:20 +0530] "GET /BankingFrontend/css/bootstrap.min.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [24/Feb/2022:14:36:28 +0530] "GET /BankingFrontend/login.html HTTP/1.1" 200 1354
0:0:0:0:0:0:0:1 - - [24/Feb/2022:14:36:49 +0530] "GET /BankingFrontend/login.html HTTP/1.1" 200 1358
0:0:0:0:0:0:0:1 - - [24/Feb/2022:14:36:53 +0530] "GET /BankingFrontend/register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2022:14:36:53 +0530] "GET /BankingFrontend/images/Banklog.jjpg HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [24/Feb/2022:14:37:38 +0530] "GET /BankingFrontend/login.html HTTP/1.1" 200 1361
0:0:0:0:0:0:0:1 - - [24/Feb/2022:14:38:22 +0530] "GET /BankingFrontend/login.html HTTP/1.1" 200 1359
0:0:0:0:0:0:0:1 - - [24/Feb/2022:14:38:56 +0530] "GET /BankingFrontend/login.html HTTP/1.1" 200 1358
0:0:0:0:0:0:0:1 - - [24/Feb/2022:14:39:20 +0530] "GET /BankingFrontend/login.html HTTP/1.1" 200 1358
0:0:0:0:0:0:0:1 - - [24/Feb/2022:14:39:30 +0530] "GET /BankingFrontend/login.html HTTP/1.1" 200 1358
0:0:0:0:0:0:0:1 - - [24/Feb/2022:14:39:30 +0530] "GET /BankingFrontend/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2022:16:16:00 +0530] "GET /BankingFrontend/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2022:16:16:16 +0530] "GET /BankingFrontend/images/Banklog.jjpg HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [24/Feb/2022:16:17:14 +0530] "GET /BankingFrontend/css/bootstrap.min.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [24/Feb/2022:16:17:29 +0530] "GET /BankingFrontend/css/bootstrap.min.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [24/Feb/2022:16:17:39 +0530] "GET /BankingFrontend/css/bootstrap.min.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [24/Feb/2022:16:17:51 +0530] "GET /BankingFrontend/css/bootstrap.min.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [24/Feb/2022:16:18:06 +0530] "GET /BankingFrontend/css/bootstrap.min.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [24/Feb/2022:16:19:05 +0530] "GET /BankingFrontend/css/bootstrap.min.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [24/Feb/2022:16:35:26 +0530] "GET /BankingFrontend/css/bootstrap.min.css HTTP/1.1" 404 796
