0:0:0:0:0:0:0:1 - - [16/Feb/2022:10:23:17 +0530] "GET /BankingFrontend/js/bootstrap.bundle.min.js.map HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [16/Feb/2022:10:23:18 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [16/Feb/2022:10:23:36 +0530] "GET /BankingFrontend/js/myScript.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2022:10:23:39 +0530] "GET /BankingFrontend/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2022:10:23:39 +0530] "GET /BankingFrontend/js/myScript.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2022:10:23:40 +0530] "GET /BankingFrontend/login.html HTTP/1.1" 200 1292
0:0:0:0:0:0:0:1 - - [16/Feb/2022:10:23:40 +0530] "GET /BankingFrontend/js/myScript.js HTTP/1.1" 200 8424
0:0:0:0:0:0:0:1 - - [16/Feb/2022:10:23:40 +0530] "GET /BankingFrontend/images/Banklog.jpg HTTP/1.1" 200 279073
0:0:0:0:0:0:0:1 - - [16/Feb/2022:10:23:41 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [16/Feb/2022:10:23:54 +0530] "GET /BankingFrontend/dashBoard.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2022:10:23:54 +0530] "GET /BankingFrontend/js/myScript.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2022:10:23:54 +0530] "GET /BankingFrontend/js/bootstrap.bundle.min.js.map HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [16/Feb/2022:10:24:47 +0530] "GET /BankingFrontend/dashBoard.html HTTP/1.1" 200 3337
0:0:0:0:0:0:0:1 - - [16/Feb/2022:10:24:47 +0530] "GET /BankingFrontend/css/navbar-top-fixed.css HTTP/1.1" 200 90
0:0:0:0:0:0:0:1 - - [16/Feb/2022:10:24:47 +0530] "GET /BankingFrontend/js/bootstrap.bundle.min.js HTTP/1.1" 200 78135
0:0:0:0:0:0:0:1 - - [16/Feb/2022:10:24:47 +0530] "GET /BankingFrontend/js/myScript.js HTTP/1.1" 200 8423
0:0:0:0:0:0:0:1 - - [16/Feb/2022:10:24:47 +0530] "GET /BankingFrontend/images/bank.jpg HTTP/1.1" 200 121674
0:0:0:0:0:0:0:1 - - [16/Feb/2022:10:24:48 +0530] "GET /BankingFrontend/js/bootstrap.bundle.min.js.map HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [16/Feb/2022:10:24:48 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [16/Feb/2022:10:24:57 +0530] "GET /BankingFrontend/js/myScript.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2022:10:24:59 +0530] "GET /BankingFrontend/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2022:10:24:59 +0530] "GET /BankingFrontend/js/myScript.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2022:10:25:08 +0530] "GET /BankingFrontend/js/myScript.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2022:10:27:09 +0530] "GET /BankingFrontend/dashBoard.html HTTP/1.1" 200 3383
0:0:0:0:0:0:0:1 - - [16/Feb/2022:10:27:09 +0530] "GET /BankingFrontend/js/myScript.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2022:10:27:11 +0530] "GET /BankingFrontend/dashBoard.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2022:10:28:05 +0530] "GET /BankingFrontend/dashBoard.html HTTP/1.1" 200 3378
0:0:0:0:0:0:0:1 - - [16/Feb/2022:10:28:05 +0530] "GET /BankingFrontend/js/myScript.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2022:10:30:02 +0530] "GET /BankingFrontend/dashBoard.html HTTP/1.1" 200 3434
0:0:0:0:0:0:0:1 - - [16/Feb/2022:10:30:02 +0530] "GET /BankingFrontend/js/myScript.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2022:10:30:10 +0530] "GET /BankingFrontend/dashBoard.html HTTP/1.1" 200 3435
0:0:0:0:0:0:0:1 - - [16/Feb/2022:10:30:18 +0530] "GET /BankingFrontend/dashBoard.html HTTP/1.1" 200 3436
